Nom de la vitamine;Rôles dans l’organisme;Principales sources alimentaires;Recommandations journalières;Risques
Vitamine A (rétinol et caroténoïdes);Antioxydant, réparation de tissus, santé de la peau, vision, fonction immunitaire;Abats, jaune d’œuf, beurre, carottes, patate douce, légumes à feuilles vertes, mangues, melon;750 µg pour les hommes, 650 µg pour les femmes;Déficience : cécité nocturne, infections, peau desséchée, troubles de la cicatrisation. Surcharge : lésions hépatiques, vision floue, nausées, maux de tête, douleurs articulaires, fatigue
Vitamine D;Santé osseuse, homéostasie phosphocalcique, fonction neuromusculaire, absorption du calcium, fonction immunitaire;Poissons gras, huile de foie de morue, jaune d’œuf, exposition au soleil (penser à vous protéger);15 µg**;Déficience : faiblesse neuromusculaire, baisse de la densité minérale osseuse, fractures, blessures chroniques, fragilités, sensibilité accrue aux infections. Surcharge : hypercalcémie, nausées, douleurs abdominales, atteinte des tissus mous (comme les reins), perte d’appétit, douleurs articulaires
Vitamine E;Antioxydant, anti-inflammatoire, maintien de l’intégrité des lipides membranaires;Huiles végétales, huiles de foie de morue, certains fruits à coque;10 mg pour les hommes, 9 mg pour les femmes;Déficience : hémolyse, anémie. Surcharge : maux de tête, fatigue, diarrhée
Vitamine K;Coagulation sanguine, santé osseuse;K1 : légumes verts foncés (herbes aromatiques, chou frisé, épinards, salade et crucifères, certaines huiles végétales). K2 : synthétisées par les bactéries présentes dans le foie, la viande de bœuf et les produits laitiers, les produits laitiers fermentés;79 µg;Déficience : saignements, hémorragies. Surcharge : interférence avec les anticoagulants, thrombose, vomissements
Vitamine C;Antioxydant, absorption du fer non hémique, synthèse du collagène, immunité, synthèse catécholamines, absorption fer, développement du tissu conjonctif;Fruits (cassis et agrumes essentiellement), légumes (persil et poivron rouge notamment);110 mg;Déficience : faiblesse musculaire, asthénie, scorbut, cicatrisation lente, anémie. Surcharge : aucun effet toxique <1000 mg/j, au-delà : troubles digestifs (diarrhée), calculs rénaux, surcharge en fer
Vitamine B1 (thiamine);Coenzyme dans le métabolisme des glucides, production énergétique, fonctionnement du système nerveux central;Céréales complètes, porc, oléagineux;0,1 mg/MJ (mégajoule d’énergie consommée);Déficience : irritabilité, faiblesse musculaire, baisse de l’endurance, sensibilité, perte d’appétit, béribéri. Surcharge : rare, car l’excès est éliminé dans les urines
Vitamine B2 (riboflavine);Métabolisme oxydatif (transport d’électrons au niveau des chaînes respiratoires de la mitochondrie), maintien d’une peau saine;Produits laitiers, œufs;1,6 mg/j;Déficience : dermatite, plaies (lèvres et langue), lésion de la cornée (yeux). Surcharge : rare, car l’excès est éliminé dans les urines
Vitamine B3 (niacine);Métabolisme oxydatif, réparation de l’ADN, favorise la glycolyse, maintien d’une peau saine;Foie, viandes, poissons, produits de la mer et céréales complètes;1,6 mg d’EN (équivalence niacine)/mégajoule d’énergie consommée;Déficience : fatigue, irritabilité, troubles nerveux, pellagre, lésions cutanées, problèmes intestinaux. Surcharge : atteintes hépatiques, nausées, irritation cutanée, maux de tête, inhibition de la lipolyse
Vitamine B6;Coenzyme dans le métabolisme des protéines, formation d’hémoglobine et de globules rouges, équilibre psychique (synthèse neurotransmetteurs);Céréales, légumes amylacés, produits dérivés du soja, fruits autres qu’agrumes, foie de bœuf, de veau, de porc et de volailles, poisson;1,7 mg pour les hommes, 1,6 mg pour les femmes;Déficience : altération système nerveux, fatigue, irritabilité, dermatite, maux de tête. Surcharge : neuropathie, perte de sensibilité nerveuse, démarche anormale
Vitamine B9 (acide folique);Renouvellement cellulaire et hématopoïèse, synthèse ADN et ARN, maintien du tissu intestinal, formation d’hémoglobine et de globules (rouges et blancs);Légumineuses, légumes à feuilles, foie, levure de bière et germe de blé;330 µg;Déficience : malformations fœtales, infections, troubles intestinaux, fatigue, anémie. Surcharge : effet toxique rare, peut masquer une carence en B12
Vitamine B12;Synthèse de l’hémoglobine et globules rouges, synthèse ADN, fabrication des protéines, croissance corporelle, système nerveux (gaine de myéline), maintien des tissus nerveux, intestinaux et osseux;Abats, poissons, œufs, viande, produits laitiers;4 µg;Déficience : anémie, essoufflement, intolérance à l’effort, signes neurologiques, paralysie. Surcharge : effet toxique rare, car l’excès est éliminé dans les urines
